127.0.0.1 - - [16/Feb/2024:00:11:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:16:48 +0900] "GET /board/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:16:57 +0900] "GET /board/board/list HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:16:59 +0900] "GET /board/board/detail?bno=90 HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:17:01 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:17:01 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:22:39 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:22:39 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:22:40 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:23:04 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:23:10 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:23:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:23:23 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:24:43 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:24:45 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:24:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:24:54 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:24:55 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:24:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:25:31 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:26:29 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:27:52 +0900] "GET /board/board/modify?bno=90 HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:27:55 +0900] "POST /board/board/modify/action HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:27:56 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:27:57 +0900] "GET /board/board/list?page=1 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:28:14 +0900] "GET /board/board/detail?bno=91 HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:28:15 +0900] "GET /board/board/modify?bno=91 HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:29:18 +0900] "GET /board/board/list HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:29:20 +0900] "GET /board/board/detail?bno=95 HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:30:15 +0900] "GET /board/board/detail?bno=95 HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:30:16 +0900] "GET /board/board/detail?bno=95 HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:30:16 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:30:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:30:18 +0900] "GET /board/board/list?page=1 HTTP/1.1" 200 5160
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:30:19 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:32:02 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:15:58 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:16:32 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:01 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:02 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:02 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:45 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:46 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:46 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:50 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:51 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:51 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:17:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:12 +0900] "GET /board/board/detail?bno=93 HTTP/1.1" 200 2284
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:25 +0900] "GET /board/board/list?page=1 HTTP/1.1" 200 5161
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:29 +0900] "GET /board/board/detail?bno=97 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:40 +0900] "GET /board/board/detail?bno=97 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:42 +0900] "GET /board/board/detail?bno=97 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:45 +0900] "GET /board/board/detail?bno=90 HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:47 +0900] "GET /board/board/list?page=1 HTTP/1.1" 200 5161
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:48 +0900] "GET /board/board/detail?bno=95 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:18:56 +0900] "GET /board/board/list?page=2 HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:20:04 +0900] "GET /board/board/list?page=2 HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:06 +0900] "GET /board/board/list?page=2 HTTP/1.1" 200 5419
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:07 +0900] "GET /board/board/list?page=2 HTTP/1.1" 200 5419
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:07 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:22 +0900] "GET /board/board/list?page=2 HTTP/1.1" 200 5435
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:23 +0900] "GET /board/board/list?page=2 HTTP/1.1" 200 5435
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:23 +0900] "GET /board/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:21:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
